plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_1_000004342	158112000.0	0.149151679553315	1.4033650381819596	0.7583734876905056	1.5167469753810112	0.8462138968799148	1.6924277937598295	1.0	0.594286706965694	212578909.65898463	168954276.5137997	168954276.5137997	-0.0043965387357953745	0.8491679213047939	6.54782507627033	65145600.0	0.035	8.485981298846347
Saltmarsh_1_000007178	158112000.0	0.6859942025646102	0.09389328732093394	0.1384230862359967	0.2768461724719934	0.12189518127587062	0.24379036255174125	0.09090909090909091	0.3355177773369683	649228.3822628695	1713422.199567352	649228.3822628695	-0.00044632503579402185	0.0036924669471083693	0.028044932272140926	3888000.0	0.035	0.03634623222469464
Saltmarsh_1_000007231	158112000.0	1.4170090904417953	0.011383428499737391	0.2108652967813192	0.4217305935626384	0.19434769102263513	0.38869538204527027	0.1724137931034483	0.38249026616414383	2821246.619549259	5034914.638308944	2821246.619549259	0.0005673725791822421	0.013538860518564054	0.10503388892612714	2764800.0	0.035	0.13612392004826077
Saltmarsh_1_000007252	158112000.0	1.1914083915838551	1.4887339432070148	0.35419898079611956	0.7083979615922391	0.3953603935783697	0.7907207871567394	0.935064935064935	0.3807511949622403	42032913.45705044	22817750.479797665	22817750.479797665	0.03168790545350102	0.08240084694548731	0.667496909662508	2332800.0	0.035	0.8650759949226103
Saltmarsh_1_000007256	158112000.0	1.2543898784245562	1.8144193642070305	0.23171723177861436	0.4634344635572287	0.2341474997615201	0.4682949995230402	0.38333333333333336	0.34600270787874854	7142696.746744174	6617291.078661	6617291.078661	0.014363486414879296	0.018722968978425705	0.15883083964347272	2246400.0	0.035	0.20584476817794065
Saltmarsh_1_000007350	158112000.0	1.442903736268937	1.9308495490619955	0.06965590632103559	0.13931181264207118	0.06631508571485191	0.13263017142970382	0.2	0.4152032494544983	285219.21909834543	554358.9639353752	285219.21909834543	0.0010494168241141177	0.00037667927137760934	0.003955892683509253	172800.0	0.035	0.005126836917827992
Saltmarsh_1_000007357	158112000.0	1.9342246061663637	0.04364419100871619	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_1_000007358	158112000.0	1.41959530968953	1.7987286204266255	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_1_000007359	158112000.0	0.0372150505019464	0.6066941439036155	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_1_000007360	158112000.0	0.9396306150421718	0.29104319299790404	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_2_000005085	158112000.0	0.03562845825059435	0.06104497395005448	0.6461626802257692	1.2923253604515383	0.6988528257931859	1.3977056515863717	0.9683544303797469	0.6610415711806843	149121659.17701656	125389564.81730662	125389564.81730662	0.009027640051577301	0.6179201840349559	3.8396939399369887	49075200.0	0.035	4.976243346158338
Saltmarsh_2_000005887	158112000.0	1.9491336418243395	1.089362041401845	0.5356988377847692	1.0713976755695385	0.5667211260143249	1.1334422520286498	0.9950248756218906	0.5504890754487779	105539261.06114057	67815153.3556213	67815153.3556213	-0.0014481904821213587	0.3405239572602278	2.109558507603958	31795200.0	0.035	2.7339878258547294
Saltmarsh_2_000006009	158112000.0	0.9597010375951249	0.6593423669450467	0.5595436077317515	1.119087215463503	0.5851707905334717	1.1703415810669433	0.8545918367346939	0.5758778952574969	99018347.49551779	75149364.42497735	75149364.42497735	-0.005842096416936671	0.3815889185418234	2.3597381976638783	29116800.0	0.035	3.0582207041723866
Saltmarsh_2_000006860	158112000.0	0.908983075511953	1.2356354192382903	0.1387749702828074	0.2775499405656148	0.1369555642191548	0.2739111284383096	0.037037037037037035	0.30271942340410674	287153.3031254786	2275668.6781241694	287153.3031254786	-0.004622219608381819	0.006057986124009212	0.032932992035429404	10800000.0	0.035	0.04268115767791651
Saltmarsh_2_000006861	158112000.0	1.86498462255671	0.42315446781955623	0.5266338791811662	1.0532677583623324	0.5540353975929767	1.1080707951859534	0.6267281105990783	0.6058966801769432	64196317.49741623	71033977.07072863	64196317.49741623	0.0006928305724770989	0.32028875691460407	1.9862556573655845	10713600.0	0.035	2.5741873319457977
Saltmarsh_2_000006994	158112000.0	0.41567082774092445	0.6598685643689093	0.11922517011244997	0.23845034022489994	0.09918238915965284	0.19836477831930568	0.1111111111111111	0.29209768924957663	578496.9694190465	926422.133871839	578496.9694190465	0.0002216921051448814	0.0026707927419503514	0.016778710333228853	7862400.0	0.035	0.021745208591864594
