plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_3_000009762	158112000.0	0.03933469570733683	1.0495969854448672	0.3509304130535677	0.7018608261071354	0.4466798992741268	0.8933597985482536	1.0	0.36588883357881397	45612600.31104335	31492190.40162223	31492190.40162223	-0.0021069583576453776	0.15956791036575652	0.8315212668721752	106185600.0	0.07	1.0776515618663391
Saltmarsh_3_000015733	158112000.0	0.08258160308661	1.9375640367388556	0.37390233021835173	0.7478046604367035	0.45774518426987587	0.9154903685397517	1.0	0.407634196287774	51579253.103303924	35905270.99309206	35905270.99309206	0.001616232302017656	0.17791012266344264	0.9310694003380711	73958400.0	0.07	1.20666594283814
Saltmarsh_3_000020892	158112000.0	1.8412173334408788	1.5930670409816434	0.33603751697099765	0.6720750339419953	0.4157823963505517	0.8315647927011034	1.0	0.35847507281161667	41770853.01614728	26263255.627506003	26263255.627506003	-0.0009497021125695337	0.13226598025009956	0.6900454617736843	46137600.0	0.07	0.8942989184586949
Saltmarsh_3_000021298	158112000.0	1.8034410318412089	1.1530533474575233	0.3108022666537837	0.6216045333075674	0.3548899300903804	0.7097798601807608	0.7641509433962265	0.3535077110911258	27279728.49458639	17937008.75724853	17937008.75724853	-0.00022262407303821896	0.08990766785928087	0.4694806478460304	43891200.0	0.07	0.6084469196084554
Saltmarsh_3_000021522	158112000.0	1.2341566146173646	1.763058413768902	0.32990849204201095	0.6598169840840219	0.4004877442318059	0.8009754884636118	0.832	0.3576855050443217	33473149.867689222	24021102.73074477	24021102.73074477	-0.00041244300298140524	0.12051795665670527	0.6292076985766508	42681600.0	0.07	0.8154531773553395
Saltmarsh_3_000022017	158112000.0	1.9255098097345922	0.008952923030444149	0.28610382425420056	0.5722076485084011	0.3359905134835295	0.671981026967059	0.8055555555555556	0.31592101334697675	24400839.56769489	14634909.633738073	14634909.633738073	-0.0007533482376383821	0.07392789640632874	0.3854670449160931	40003200.0	0.07	0.49956529021125673
Saltmarsh_3_000022166	158112000.0	0.14057447287019498	0.6080379974169379	0.23223951766998627	0.46447903533997253	0.3031140881215728	0.6062281762431456	0.49122807017543857	0.27611515003701914	9773926.403732216	11095127.535802929	9773926.403732216	0.0003840832895725607	0.04848554872908852	0.2536864035598392	39225600.0	0.07	0.3287775790135516
Saltmarsh_3_000022401	158112000.0	1.9834167000118543	1.910456369021686	0.21438265355407815	0.4287653071081563	0.21221881542344487	0.42443763084688974	0.2916666666666667	0.29047771025862956	4933543.044229227	4781446.830418133	4781446.830418133	0.000695349476934528	0.023211884675156138	0.12196084817047537	37929600.0	0.07	0.15806125922893607
Saltmarsh_3_000022412	158112000.0	0.8995435736903676	1.1572377992125529	0.3010052577437071	0.6020105154874142	0.38112425624827423	0.7622485124965485	1.0	0.3516829893544868	32917426.335695017	21677807.218085002	21677807.218085002	0.011139875683910713	0.0972491604065143	0.5191971962877048	37929600.0	0.07	0.6728795663888654
Saltmarsh_3_000022671	158112000.0	1.4791276353648612	0.6096517587311967	0.32505192882802175	0.6501038576560435	0.39366425740526323	0.7873285148105265	1.0	0.3722895747227578	38737949.55729937	23958226.58783341	23958226.58783341	0.0063236401934450015	0.11346749274572204	0.5991101495992415	36547200.0	0.07	0.7764467538806169
