plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_3_000005327	158112000.0	0.8127161516890236	0.204464558142329	0.0737132017218343	0.1474264034436686	0.15907263512637634	0.3181452702527527	0.5714285714285714	0.0730149198633929	1149244.5811121205	1062463.1760245187	1062463.1760245187	-1.4592875610575269e-05	0.005326908755733169	0.02780762577271499	130204800.0	0.105	0.03603868300143863
Saltmarsh_3_000005893	158112000.0	1.398349385255314	0.33389376239877233	0.08008510961633342	0.16017021923266683	0.1764709365225634	0.3529418730451268	0.75	0.08212498899614601	1724996.3472095728	1491305.9828163795	1491305.9828163795	0.00028123488484255426	0.0071752950292393435	0.03775749669519981	127094400.0	0.105	0.04893371571697895
Saltmarsh_3_000006186	158112000.0	1.0270170678347752	0.2110768632970339	0.09306545465308176	0.18613090930616352	0.15927016441817157	0.31854032883634315	0.9	0.0942045644391328	2844468.6706889193	1216334.090069048	1216334.090069048	0.0003112402665434036	0.0057704301838018375	0.03044995253486262	125539200.0	0.105	0.03946313848518195
Saltmarsh_3_000006834	158112000.0	1.7042090265629675	0.7145041212211434	0.08237643639384686	0.1647528727876937	0.14953840387524653	0.29907680775049306	0.8888888888888888	0.0797985238067451	2226967.000541916	940801.5813282363	940801.5813282363	1.0886595848004499e-05	0.0046931213107931765	0.024522860282551916	121996800.0	0.105	0.03178162692618729
Saltmarsh_3_000007517	158112000.0	1.6576898241244504	0.2503972629483213	0.08769411398023493	0.17538822796046985	0.16655263136462573	0.33310526272925145	1.0	0.08539682060945777	2833840.5362125887	1278992.1547208654	1278992.1547208654	3.176368516941575e-05	0.006363197088434911	0.033266472371757026	118368000.0	0.105	0.04311334819379711
Saltmarsh_3_000007767	158112000.0	0.17422783177910373	0.4734507746108396	0.08768112994721584	0.1753622598944317	0.16224097474506932	0.32448194949013864	1.0	0.08522777264719611	2836283.3917009956	1194443.492194193	1194443.492194193	2.952390371763116e-05	0.0059426935572533335	0.031067960470131377	116985600.0	0.105	0.040264076769290266
Saltmarsh_3_000008333	158112000.0	1.561347273724071	1.4316946423121804	0.0779852228363868	0.1559704456727736	0.14824917747086283	0.29649835494172566	0.5	0.0767651436229547	1112614.9299302583	911815.4236995641	911815.4236995641	8.525517655570171e-05	0.004473821941942119	0.02345183755483008	113961600.0	0.105	0.030393581471059788
Saltmarsh_3_000009099	158112000.0	1.0015934713591563	0.9553651930206646	0.07953270763908209	0.15906541527816417	0.1740544339109533	0.3481088678219066	0.6666666666666666	0.07901075044558162	1561987.5920913103	1385622.0692910044	1385622.0692910044	-2.528217741119658e-05	0.006953392523866219	0.036291992252796605	109814400.0	0.105	0.04703442195962441
Saltmarsh_3_000009994	158112000.0	1.3115593857803287	0.5857212090693824	0.08465542391888248	0.16931084783776496	0.16491495678043397	0.32982991356086794	1.0	0.08112768873710323	2675426.1791462125	1205519.7565551533	1205519.7565551533	-0.00012106797631935163	0.006148666759095118	0.03199315789306868	104976000.0	0.105	0.04146313262941702
Saltmarsh_3_000010070	158112000.0	1.939359531185058	0.5362974794894515	0.09718149712343457	0.19436299424686915	0.1738502390488292	0.3477004780976584	1.0	0.09773144414763392	3447796.793769965	1540826.0692652569	1540826.0692652569	0.00034502484903643684	0.007359105497289848	0.03878132094315125	104544000.0	0.105	0.050260591942324025
Saltmarsh_3_000010079	158112000.0	0.9976149540989356	0.5086636660141459	0.09947275755155492	0.19894551510310984	0.17078649030754184	0.3415729806150837	1.0	0.09056475974264598	3756508.5441409005	1351766.3471850005	1351766.3471850005	-0.0005169246185942229	0.007275756354519226	0.03748404243561186	104544000.0	0.105	0.048579318996552975
Saltmarsh_3_000010102	158112000.0	0.6066570552662143	1.246511613436012	0.07792923832197436	0.15585847664394872	0.14865760687358526	0.2973152137471705	0.5714285714285714	0.07662429014841715	1270891.7414182452	916741.3755193561	916741.3755193561	7.705855093643934e-05	0.004506648326660341	0.02361509174523643	104371200.0	0.105	0.030605158901826413
Saltmarsh_3_000010353	158112000.0	1.400237123925637	1.591983846162642	0.09034597595394975	0.1806919519078995	0.17685973805353827	0.35371947610707655	1.0	0.08384488405365693	3114609.6243012664	1433843.8266277933	1433843.8266277933	-0.0004612653457607167	0.007630484478899683	0.03939243166681034	102988800.0	0.105	0.05105259144018621
