t_step,salinity_1,salinity_2
0,0.10325880550148238,0.10325880550148238
86400,0.10377024141721727,0.10377024141721727
172800,0.10509393393963468,0.10509393393963468
259200,0.10816715906504724,0.10816715906504724
345600,0.11470402174928568,0.11470402174928568
432000,0.1276401039382028,0.1276401039382028
518400,0.15173504217612754,0.15173504217612754
604800,0.10302633381817346,0.10302633381817346
691200,0.10302633381817346,0.10302633381817346
777600,0.1030263367974147,0.1030263367974147
864000,0.1030264269194621,0.1030264269194621
950400,0.1030274942326351,0.1030274942326351
1036800,0.10303446118826677,0.10303446118826677
1123200,0.10306586611495161,0.10306586611495161
1209600,0.10317571893225674,0.10317571893225674
1296000,0.10349530437413282,0.10349530437413282
1382400,0.1043033207757254,0.1043033207757254
1468800,0.10613217716626444,0.10613217716626444
1555200,0.10991564818879931,0.10991564818879931
1641600,0.11717815199924993,0.11717815199924993
1728000,0.13025804961075862,0.13025804961075862
1814400,0.10302633381817346,0.10302633381817346
1900800,0.10302633381817346,0.10302633381817346
1987200,0.10302633530779408,0.10302633530779408
2073600,0.10302637850679201,0.10302637850679201
2160000,0.10302687082640635,0.10302687082640635
2246400,0.10302990369398515,0.10302990369398515
2332800,0.10304268538370029,0.10304268538370029
2419200,0.10308399777711727,0.10308399777711727
2505600,0.10319325847022665,0.10319325847022665
2592000,0.10343889691018053,0.10343889691018053
2678400,0.10391767736272153,0.10391767736272153
2764800,0.104729073713497,0.104729073713497
2851200,0.10589822628968157,0.10589822628968157
2937600,0.10720706580491414,0.10720706580491414
3024000,0.10302633381817346,0.10302633381817346
3110400,0.10302633381817346,0.10302633381817346
3196800,0.10302633381817346,0.10302633381817346
3283200,0.10302633083893221,0.10302633083893221
3369600,0.10302627348853842,0.10302627348853842
3456000,0.10302571413599626,0.10302571413599626
3542400,0.10302231035288349,0.10302231035288349
3628800,0.1030069806671008,0.1030069806671008
3715200,0.10295140217702259,0.10295140217702259
3801600,0.10278011219174753,0.10278011219174753
3888000,0.1023148120609916,0.1023148120609916
3974400,0.10117218664877732,0.10117218664877732
4060800,0.09858848139575323,0.09858848139575323
4147200,0.09313415804165996,0.09313415804165996
4233600,0.10302633381817346,0.10302633381817346
4320000,0.10302633381817346,0.10302633381817346
4406400,0.10302633232855285,0.10302633232855285
4492800,0.1030263047705714,0.1030263047705714
4579200,0.103025937579089,0.103025937579089
4665600,0.10302328530957815,0.10302328530957815
4752000,0.10301005673367755,0.10301005673367755
4838400,0.10295890018240468,0.10295890018240468
4924800,0.10279440286714897,0.10279440286714897
5011200,0.1023345830506477,0.1023345830506477
5097600,0.10118306460334228,0.10118306460334228
5184000,0.09854388289925232,0.09854388289925232
5270400,0.09292066635945882,0.09292066635945882
5356800,0.08164983478376506,0.08164983478376506
5443200,0.10302633381817346,0.10302633381817346
5529600,0.10302633381817346,0.10302633381817346
5616000,0.10302633232855285,0.10302633232855285
5702400,0.1030262801918312,0.1030262801918312
5788800,0.10302562475875916,0.10302562475875916
5875200,0.1030210300239621,0.1030210300239621
5961600,0.10299874232027142,0.10299874232027142
6048000,0.10291471803486658,0.10291471803486658
6134400,0.10265080939802955,0.10265080939802955
6220800,0.1019290353269424,0.1019290353269424
6307200,0.10015785704674306,0.10015785704674306
6393600,0.09617466513981271,0.09617466513981271
6480000,0.08783695763595163,0.08783695763595163
6566400,0.07140107064440718,0.07140107064440718
6652800,0.10302633381817346,0.10302633381817346
6739200,0.10302633381817346,0.10302633381817346
6825600,0.10302633232855285,0.10302633232855285
6912000,0.10302625859233223,0.10302625859233223
6998400,0.10302535439261694,0.10302535439261694
7084800,0.10301908308981399,0.10301908308981399
7171200,0.1029890247801681,0.1029890247801681
7257600,0.10287698594460562,0.10287698594460562
7344000,0.10252892044612873,0.10252892044612873
7430400,0.10158691341473243,0.10158691341473243
7516800,0.09929844649938897,0.09929844649938897
7603200,0.09420147344908633,0.09420147344908633
7689600,0.08363119331953112,0.08363119331953112
7776000,0.06298024454447718,0.06298024454447718
7862400,0.10302633381817346,0.10302633381817346
7948800,0.10302633381817346,0.10302633381817346
8035200,0.10302633083893221,0.10302633083893221
8121600,0.10302624146169513,0.10302624146169513
8208000,0.10302513988724792,0.10302513988724792
8294400,0.10301755324943902,0.10301755324943902
8380800,0.10298146123147879,0.10298146123147879
8467200,0.1028478869506379,0.1028478869506379
8553600,0.10243578415140188,0.10243578415140188
8640000,0.10132798755886352,0.10132798755886352
8726400,0.09865450808484805,0.09865450808484805
8812800,0.09273835690566007,0.09273835690566007
8899200,0.08054646608851451,0.08054646608851451
8985600,0.056874077359221786,0.056874077359221786
9072000,0.10302633381817346,0.10302633381817346
9158400,0.10302633381817346,0.10302633381817346
9244800,0.10302633083893221,0.10302633083893221
9331200,0.10302623028954049,0.10302623028954049
9417600,0.10302499315961701,0.10302499315961701
9504000,0.10301653285931552,0.10301653285931552
9590400,0.10297649334671684,0.10297649334671684
9676800,0.10282910134502081,0.10282910134502081
9763200,0.10237677878909131,0.10237677878909131
9849600,0.10116722695692876,0.10116722695692876
9936000,0.09826326146388853,0.09826326146388853
10022400,0.09186988425127471,0.09186988425127471
10108800,0.07876107310356525,0.07876107310356525
10195200,0.05343550490172936,0.05343550490172936
10281600,0.10302633381817346,0.10302633381817346
10368000,0.10302633381817346,0.10302633381817346
10454400,0.10302633083893221,0.10302633083893221
10540800,0.10302622433105801,0.10302622433105801
10627200,0.10302492538187888,0.10302492538187888
10713600,0.10301607778021662,0.10301607778021662
10800000,0.10297440564342032,0.10297440564342032
10886400,0.1028217165508057,0.1028217165508057
10972800,0.10235531931446443,0.10235531931446443
11059200,0.10111392386234495,0.10111392386234495
11145600,0.09814731833268556,0.09814731833268556
11232000,0.09164625421114556,0.09164625421114556
11318400,0.07837820932263509,0.07837820932263509
11404800,0.052863278313372904,0.052863278313372904
11491200,0.10302633381817346,0.10302633381817346
11577600,0.10302633381817346,0.10302633381817346
11664000,0.10302633083893221,0.10302633083893221
11750400,0.10302622582067864,0.10302622582067864
11836800,0.10302493804365413,0.10302493804365413
11923200,0.1030162155701238,0.1030162155701238
12009600,0.10297531952566964,0.10297531952566964
12096000,0.10282615785467909,0.10282615785467909
12182400,0.10237264360225498,0.10237264360225498
12268800,0.10117115732093009,0.10117115732093009
12355200,0.0983133827288317,0.0983133827288317
12441600,0.09208039073375682,0.09208039073375682
12528000,0.07942000380481884,0.07942000380481884
12614400,0.05519047089592969,0.05519047089592969
12700800,0.10302633381817346,0.10302633381817346
12787200,0.10302633381817346,0.10302633381817346
12873600,0.10302633083893221,0.10302633083893221
12960000,0.1030262310343508,0.1030262310343508
13046400,0.10302503188975308,0.10302503188975308
13132800,0.10301693878093399,0.10301693878093399
13219200,0.10297918211193284,0.10297918211193284
13305600,0.10284216978670495,0.10284216978670495
13392000,0.10242775137221782,0.10242775137221782
13478400,0.10133561814048064,0.10133561814048064
13564800,0.09875185553706275,0.09875185553706275
13651200,0.0931472019046039,0.0931472019046039
13737600,0.08182624236067419,0.08182624236067419
13824000,0.06028257065237964,0.06028257065237964
13910400,0.10302633381817346,0.10302633381817346
13996800,0.10302633381817346,0.10302633381817346
14083200,0.10302633083893221,0.10302633083893221
14169600,0.10302624444093636,0.10302624444093636
14256000,0.10302520170650357,0.10302520170650357
14342400,0.10301820421364921,0.10301820421364921
14428800,0.10298576846949654,0.10298576846949654
14515200,0.10286882654766902,0.10286882654766902
14601600,0.10251745632585046,0.10251745632585046
14688000,0.10159780254145204,0.10159780254145204
14774400,0.09943739235217938,0.09943739235217938
14860800,0.09478502562300356,0.09478502562300356
14947200,0.0854578450715551,0.0854578450715551
15033600,0.06784525685134296,0.06784525685134296
15120000,0.10302633381817346,0.10302633381817346
15206400,0.10302633381817346,0.10302633381817346
15292800,0.10302633232855285,0.10302633232855285
15379200,0.10302626306119408,0.10302626306119408
15465600,0.10302543483213034,0.10302543483213034
15552000,0.10301994111129012,0.10301994111129012
15638400,0.10299470172434436,0.10299470172434436
15724800,0.10290458712504168,0.10290458712504168
15811200,0.10263657607302192,0.10263657607302192
15897600,0.10194255735810483,0.10194255735810483
15984000,0.1003303692657354,0.1003303692657354
16070400,0.09689919575385396,0.09689919575385396
16156800,0.0901049035376577,0.0901049035376577
16243200,0.07744140479124813,0.07744140479124813
16329600,0.10302633381817346,0.10302633381817346
16416000,0.10302633381817346,0.10302633381817346
16502400,0.10302633232855285,0.10302633232855285
16588800,0.10302628466069305,0.10302628466069305
16675200,0.10302572158409934,0.10302572158409934
16761600,0.10302204669003405,0.10302204669003405
16848000,0.10300546125407016,0.10300546125407016
16934400,0.10294738392540478,0.10294738392540478
17020800,0.10277822260799324,0.10277822260799324
17107200,0.10234995370099738,0.10234995370099738
17193600,0.10137917241292814,0.10137917241292814
17280000,0.09936751573859663,0.09936751573859663
17366400,0.0954988197964386,0.0954988197964386
17452800,0.08851635870374157,0.08851635870374157
17539200,0.10302633381817346,0.10302633381817346
17625600,0.10302633381817346,0.10302633381817346
17712000,0.10302633381817346,0.10302633381817346
17798400,0.10302630923943325,0.10302630923943325
17884800,0.10302604408696321,0.10302604408696321
17971200,0.10302439954580063,0.10302439954580063
18057600,0.10301742812130708,0.10301742812130708
18144000,0.10299474492334228,0.10299474492334228
18230400,0.10293421046546704,0.10293421046546704
18316800,0.10279644513701663,0.10279644513701663
18403200,0.10252318242750712,0.10252318242750712
18489600,0.10204731343846453,0.10204731343846453
18576000,0.10132782593502644,0.10132782593502644
18662400,0.10042998764458268,0.10042998764458268
18748800,0.10302633381817346,0.10302633381817346
18835200,0.10302633381817346,0.10302633381817346
18921600,0.10302633381817346,0.10302633381817346
19008000,0.10302633828703532,0.10302633828703532
