plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_1_000007357	158112000.0	1.1970145551008051	1.6039997884577828	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_1_000007358	158112000.0	0.0577073256085725	1.566292228599962	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_1_000007359	158112000.0	1.2422902518545433	0.18755319049027985	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_1_000007360	158112000.0	0.7348888981044073	0.5292905841673603	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_2_000007357	158112000.0	0.611243550770113	1.190593132193795	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_2_000007358	158112000.0	0.7780196841074463	0.7505190330915013	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_2_000007359	158112000.0	1.9147976406761844	1.4555961328537175	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_2_000007360	158112000.0	0.09321162901998292	1.8374924875556315	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_3_000007357	158112000.0	1.8830032834643071	1.974297988114706	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_3_000007358	158112000.0	0.3557194319126793	0.05234179190871102	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_3_000007359	158112000.0	1.9540955813203058	1.8820494204570015	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_3_000007360	158112000.0	0.6232467229185281	1.4754203082710822	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_4_000002770	158112000.0	0.19453380171092194	0.40105596768474316	0.0730325910753213	0.1460651821506426	0.1324197431676587	0.2648394863353174	1.0	0.07738507571427719	2015923.508751097	714300.9248369925	714300.9248369925	-0.0001706044942845061	0.0037421091184694686	0.017036963296908847	99100800.0	0.14	0.022079904432793864
Saltmarsh_4_000003063	158112000.0	1.6864643830875632	0.6106196063289413	0.08104270312368234	0.16208540624736467	0.15220838466209902	0.30441676932419803	1.0	0.09041759924128139	2413721.3590276	1123097.4150612296	1123097.4150612296	8.931645046466111e-05	0.005526170624841487	0.025500642695155798	92793600.0	0.14	0.033048832932921914
Saltmarsh_4_000003155	158112000.0	1.5513178277839033	1.5735354026773074	0.06939803287285913	0.13879606574571826	0.14255568812592498	0.28511137625184996	1.0	0.07517938846005844	1828407.9281004837	855558.7611666889	855558.7611666889	-0.00017557291123784964	0.004453366717071294	0.020302613923247344	90806400.0	0.14	0.02631218764452856
Saltmarsh_4_000003240	158112000.0	0.9113238048889516	0.14946129687960608	0.06710351302411371	0.13420702604822743	0.13481424021397248	0.26962848042794496	1.0	0.06970624007623304	1759376.1101550423	700039.4667932495	700039.4667932495	-0.0003331008594420061	0.0038332981934082536	0.017293787197181533	88992000.0	0.14	0.022412748207547264
Saltmarsh_4_000003374	158112000.0	0.5059920576022907	1.849842843278302	0.06360180476396272	0.12720360952792545	0.12939378047976186	0.2587875609595237	1.0	0.07078975676135582	1494320.4840326242	662373.680352575	662373.680352575	1.8836930157622306e-07	0.003311680032461299	0.015228487934394588	86054400.0	0.14	0.019736120362975385
Saltmarsh_4_000003473	158112000.0	0.3612663004716201	1.259341795725139	0.07125153801822591	0.14250307603645182	0.13696756119747525	0.2739351223949505	1.0	0.07876695206631786	1872560.3942063665	802706.7381833348	802706.7381833348	1.0575654231615578e-05	0.004002958036685059	0.01841762087950098	83894400.0	0.14	0.023869236659833273
Saltmarsh_4_000003499	158112000.0	0.3100296247533758	0.888810195022441	0.06263783621152527	0.12527567242305054	0.1335497786855609	0.2670995573711218	1.0	0.07223444567485288	1406746.0510214155	739283.496851759	739283.496851759	0.00013539035212027694	0.0035610271321385185	0.016510277840065764	83376000.0	0.14	0.02139732008072523
Saltmarsh_4_000003645	158112000.0	0.023706972073059385	1.9197052173744626	0.07724180228790545	0.1544836045758109	0.15247679392175628	0.30495358784351256	1.0	0.08853879198431969	2135848.6616133875	1136461.2879654777	1136461.2879654777	0.0002668072691077829	0.005415499170719606	0.025169226240103194	80179200.0	0.14	0.03261931720717374
Saltmarsh_4_000003713	158112000.0	1.4527286136243367	0.8177458897361447	0.08161012218787873	0.16322024437575747	0.1513060343262204	0.3026120686524408	1.0	0.09194413013756275	2438104.4110890804	1119999.4532682104	1119999.4532682104	0.0001587235859882661	0.005441273680352786	0.025179663051110555	78710400.0	0.14	0.03263284331423928
Saltmarsh_4_000003754	158112000.0	1.101366167401878	1.6544159688819138	0.07328397211648296	0.14656794423296593	0.1345565269126495	0.269113053825299	1.0	0.08475508292516072	1947182.8113051564	810407.3852487244	810407.3852487244	0.00023696390270267452	0.0038150730235409474	0.017780046053066077	77846400.0	0.14	0.023042939684773635
Saltmarsh_4_000003787	158112000.0	1.3814968394130578	1.391428207765015	0.07604792519457146	0.15209585038914292	0.14377081642936684	0.2875416328587337	1.0	0.08390753209590912	2133481.238585262	934121.4498468968	934121.4498468968	1.1587187329843013e-05	0.004659020061904641	0.021435442296221973	77155200.0	0.14	0.02778033321590368
Saltmarsh_4_000003906	158112000.0	1.2490382790376515	1.9893222230333603	0.06976261535421815	0.1395252307084363	0.1308548036995522	0.2617096073991044	1.0	0.07548499573022127	1820097.266379066	692700.5174676002	692700.5174676002	-7.923150765603302e-05	0.003542734094994034	0.016211537995803927	74563200.0	0.14	0.02101015324256189
Saltmarsh_4_000003926	158112000.0	1.7719169574758906	1.1324536111694772	0.07437732261231828	0.14875464522463655	0.14312298663038528	0.28624597326077056	1.0	0.08144433749839664	2056123.4436205006	906200.7075272757	906200.7075272757	-4.747599786040623e-05	0.004578479535496785	0.021006024713491226	74131200.0	0.14	0.02722380802868463
Saltmarsh_4_000003932	158112000.0	0.9597031388694728	1.251365287335541	0.0732011734688525	0.146402346937705	0.1385928746360787	0.2771857492721574	1.0	0.08068031932298954	1978564.662866315	835238.7187122903	835238.7187122903	3.5326242496585766e-06	0.004172660969311793	0.01919093315854144	74044800.0	0.14	0.024871449373469707
Saltmarsh_4_000004081	158112000.0	0.45050717768456616	0.7247302254127475	0.06632497833374146	0.13264995666748292	0.13102560222814816	0.2620512044562963	1.0	0.07295679013160142	1634570.334506336	689418.7065904541	689418.7065904541	-3.2148467937228534e-05	0.003479242000889499	0.015966661480384094	70761600.0	0.14	0.020692793278577787
Saltmarsh_4_000004244	158112000.0	1.8097473207133044	1.4721563872186059	0.0763262348987106	0.1526524697974212	0.1444256928570012	0.2888513857140024	1.0	0.08517885833978653	2130425.394448045	957979.2514238694	957979.2514238694	8.433302789467162e-05	0.004705563229224675	0.021722210411798358	67305600.0	0.14	0.028151984693690672
Saltmarsh_4_000004294	158112000.0	0.6938598514012002	0.6984354183968788	0.06698455014677072	0.13396910029354145	0.13310999033954188	0.26621998067908376	1.0	0.06771194124999252	1782514.6240812268	658578.2316478358	658578.2316478358	-0.0004350035597969794	0.0037278947180361586	0.01670720128998451	66182400.0	0.14	0.021652532871819924
Saltmarsh_4_000004354	158112000.0	0.7008346145683688	1.3308820649221216	0.0643920111950339	0.1287840223900678	0.1275871852047163	0.2551743704094326	1.0	0.07230668012052775	1513487.0802161894	649903.2760980094	649903.2760980094	5.979999414134534e-05	0.0031897163863487017	0.014727266712809502	64886400.0	0.14	0.019086537659801114
Saltmarsh_4_000004410	158112000.0	0.673563991512234	0.44883649933553094	0.07329124913962871	0.14658249827925743	0.1391820537672739	0.2783641075345478	1.0	0.08068031932298954	1985773.5903450232	843586.8770195935	843586.8770195935	-5.19286535495718e-06	0.004223127250452925	0.019414269836664486	63676800.0	0.14	0.025160893708317176
