plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_3_000008786	158112000.0	0.9420795496711356	1.9139883226606385	0.3533002098141601	0.7066004196283202	0.4446213341982722	0.8892426683965444	1.0	0.3681986281320041	46299926.90127464	31200131.93856507	31200131.93856507	-0.0033996989396261335	0.1594003586324515	0.8293531882993097	111456000.0	0.07	1.0748417320359054
Saltmarsh_3_000013404	158112000.0	0.0920072843777262	0.1727056277767567	0.3777629871226114	0.7555259742452228	0.46081544792861495	0.9216308958572299	1.0	0.41571074239509076	52593178.881991535	36995489.21680656	36995489.21680656	0.0030345183693247513	0.18194292771470805	0.9535562089540426	86572800.0	0.07	1.2358088468044393
Saltmarsh_3_000018863	158112000.0	1.8500425237083915	1.960465623011278	0.35433572646564343	0.7086714529312869	0.4254534244521092	0.8509068489042184	0.9411764705882353	0.38673820694287614	43689433.84820781	29114746.03629202	29114746.03629202	-0.0006834362577563535	0.14625716643921646	0.763405670420372	57110400.0	0.07	0.9893737488648021
Saltmarsh_3_000019828	158112000.0	0.29422339740747194	0.7362599525546145	0.34552683071764123	0.6910536614352825	0.3925240422733779	0.7850480845467558	0.9041095890410958	0.39584719058997503	39872094.46780034	24483375.943374123	24483375.943374123	8.305015354100054e-05	0.12233382956332962	0.6391898291461868	51840000.0	0.07	0.8283900185734582
Saltmarsh_3_000020028	158112000.0	1.438598969293251	0.45641960938494597	0.30159855093076815	0.6031971018615363	0.3532151903768409	0.7064303807536818	0.8448275862068966	0.33598207924355805	28401848.645355597	17160578.921941657	17160578.921941657	-0.00023617491826746773	0.08603906952797576	0.44925643714030217	50803200.0	0.07	0.5822363425338316
Saltmarsh_3_000020617	158112000.0	0.43052088961723833	1.9392841893015702	0.30325020727257423	0.6065004145451485	0.34005041717636514	0.6801008343527303	0.8194444444444444	0.35391920475700817	27809518.63777436	16275986.375496846	16275986.375496846	0.0006789209659396195	0.08070101091154461	0.4222839939799218	47606400.0	0.07	0.5472800561979786
Saltmarsh_3_000020644	158112000.0	1.0107093287818936	0.03197089206651138	0.32447945637991465	0.6489589127598293	0.3910208093912223	0.7820416187824446	1.0	0.35862941495955936	38833109.62533733	22815944.583955243	22815944.583955243	0.001345345818546645	0.11273437710122958	0.590301850230196	47433600.0	0.07	0.7650311978983341
Saltmarsh_3_000020829	158112000.0	0.008255777607003356	1.2615334602716106	0.32098468582056794	0.6419693716411359	0.36764028888988437	0.7352805777797687	0.9264705882352942	0.36264018194885544	35303199.451738864	19792926.529414583	19792926.529414583	-0.0007069037012427809	0.0996715363483157	0.5200055989662546	46483200.0	0.07	0.6739272562602661
Saltmarsh_3_000021515	158112000.0	0.5618163959149982	0.031952342068757966	0.25760240278004265	0.5152048055600853	0.3016287162103146	0.6032574324206292	0.42	0.3053196370601654	10364697.40641356	11406201.270037446	10364697.40641356	-0.0021517684314242974	0.053975255463492106	0.27983034385681904	42768000.0	0.07	0.3626601256384375
Saltmarsh_3_000021679	158112000.0	0.9566662314429675	1.1252690104202248	0.31315674479906075	0.6263134895981215	0.39403797850922684	0.7880759570184537	1.0	0.33126389637512244	36260306.4053289	22019956.575732406	22019956.575732406	-0.0005151004790871633	0.1106148833577492	0.57736856476513	41904000.0	0.07	0.7482696599356086
Saltmarsh_3_000021955	158112000.0	0.08029778515320318	1.7006943078823424	0.2618606748000763	0.5237213496001526	0.27989667690362285	0.5597933538072457	0.423728813559322	0.32327961571076336	10704736.674894907	9751893.527036209	9751893.527036209	0.0009791719838555604	0.04778029565132549	0.25059704924671644	40348800.0	0.07	0.3247737758237445
Saltmarsh_3_000022009	158112000.0	1.8878637668498621	1.3046452448107004	0.36560556213156475	0.7312111242631295	0.42598934999126375	0.8519786999825275	1.0	0.4124493342742585	49337278.09204502	30510309.656973526	30510309.656973526	0.000995990238076505	0.15155555804679113	0.7927654042052505	40089600.0	0.07	1.0274239638500047
Saltmarsh_3_000023237	158112000.0	1.2595136961545452	1.447507111352742	0.2604897492909711	0.5209794985819421	0.2792155996907399	0.5584311993814798	0.5529411764705883	0.3146661565620072	13860809.052965064	9486830.894835552	9486830.894835552	-5.088356439697517e-06	0.047439242830617456	0.247831031803851	33436800.0	0.07	0.3211890172177909
Saltmarsh_3_000023777	158112000.0	0.528124000603706	1.123026504737057	0.22377700631143702	0.44755401262287403	0.2893078494412893	0.5786156988825786	0.46153846153846156	0.2885221165746546	8534812.209383177	10506076.833298026	8534812.209383177	9.155929597238349e-05	0.042582501750943504	0.2225546803528154	30499200.0	0.07	0.28843086573724874
Saltmarsh_3_000024564	158112000.0	1.6277150562230496	0.7902250040597636	0.25675746816226425	0.5135149363245285	0.2764253851816637	0.5528507703633274	0.7469879518072289	0.310620325203571	18179581.08054824	9196629.79444915	9196629.79444915	0.0002753533466178307	0.04570779562562792	0.23906590001242534	26265600.0	0.07	0.30982940641610324
Saltmarsh_3_000025325	158112000.0	1.9149213846186752	0.8932032982845932	0.18444212990803344	0.3688842598160669	0.1890510954424399	0.3781021908848798	0.24242424242424243	0.299332977509966	3058684.286432124	4031858.780735424	3058684.286432124	-0.0004688740178949054	0.015762295450055527	0.08187784814860471	22204800.0	0.07	0.1061136912005917
Saltmarsh_3_000025623	158112000.0	1.4673519425739403	1.7378469178867297	0.2791768844802641	0.5583537689605282	0.31692643546328414	0.6338528709265683	0.673469387755102	0.3215866669035349	19376126.312307883	12952325.519253802	12952325.519253802	0.00038015985416073317	0.06438146774210828	0.33672728985369216	20563200.0	0.07	0.43639856765038504
Saltmarsh_3_000026167	158112000.0	1.8785094750862583	0.11412663327611217	0.39216436755627304	0.7843287351125461	0.45441986670518547	0.9088397334103709	1.0	0.44040044618375374	56843940.29040894	36982759.455837026	36982759.455837026	-0.0005922857082538147	0.18550608298743895	0.9685443431771313	17625600.0	0.07	1.2552334687575624
Saltmarsh_3_000026529	158112000.0	1.2901712202624855	0.9213152700363214	0.24679318488799862	0.49358636977599724	0.26256440653609425	0.5251288130721885	0.5324675324675324	0.2997683709317987	11984519.785625488	7954924.050846785	7954924.050846785	-9.099276426871583e-05	0.039865613018502645	0.20817832750280335	15638400.0	0.07	0.26979911244363314
Saltmarsh_3_000026579	158112000.0	1.1099545206303902	0.6225594487685095	0.23304641478539798	0.46609282957079595	0.24475009409936313	0.48950018819872626	0.3582089552238806	0.28121545518699453	7210348.105613807	6445169.538188374	6445169.538188374	-0.00077823059492408	0.03300407828586595	0.17164447735260602	15379200.0	0.07	0.2224512426489774
Saltmarsh_3_000026806	158112000.0	0.017333322033272536	1.9919335187866278	0.15732506549735323	0.31465013099470646	0.21792453988977342	0.43584907977954684	0.375	0.28735965840956745	3428265.3394095795	6188526.7754527815	3428265.3394095795	1.346748215562757e-05	0.01712785921489227	0.08949428381025493	14169600.0	0.07	0.11598459181809039
Saltmarsh_3_000026970	158112000.0	0.7945788956195903	0.7502518064656334	0.24928082029003049	0.49856164058006097	0.2852774898211572	0.5705549796423144	0.41025641025641024	0.2877050426143866	9401387.046766223	9432109.517678417	9401387.046766223	0.0005615559267445197	0.0464453793070866	0.24320544988477072	13305600.0	0.07	0.3151942630506629
