plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_3_000000001	0.0	1	1	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_3_000000001	86400.0	1	1	0.06776472586352994	0.13552945172705988	0.07099957668495563	0.14199915336991126	1.0	0.6353411078453064	923552.841931713	586771.0857465757	586771.0857465757	0.002633183402653427	0.0003006720260794517	0.004203979729448326	86400.0	0.067662231	0.005448357729365029
Saltmarsh_3_000000001	172800.0	1	1	0.08792178036245049	0.17584356072490098	0.09365169080322669	0.18730338160645338	1.0	0.6281526684761047	1696403.3128477603	1206408.4773367797	1206408.4773367797	0.005227342833159147	0.0008046995535247515	0.009431322562607477	172800.0	0.068348897	0.01222299404113929
Saltmarsh_3_000000001	259200.0	1	1	0.10837595123624547	0.21675190247249093	0.11643632697305929	0.23287265394611859	1.0	0.6092890501022339	2855713.8496151557	2058079.3672374683	2058079.3672374683	0.008485111952886041	0.0018052848833013003	0.017916434515493525	259200.0	0.070126118	0.023219699132079608
Saltmarsh_3_000000001	345600.0	1	1	0.1270906004352858	0.2541812008705716	0.13769675453924368	0.27539350907848736	1.0	0.5643035173416138	4338979.368995328	2962999.598994374	2962999.598994374	0.011385545955900066	0.003429452039071803	0.02930198047139359	345600.0	0.074252303	0.0379753666909261
Saltmarsh_3_000000001	432000.0	1	1	0.14106911517427512	0.28213823034855023	0.15468822999587975	0.3093764599917595	1.0	0.46597805619239807	5966897.855189486	3440556.8608606006	3440556.8608606006	0.011593982140593321	0.005608802163709682	0.040895962611986914	432000.0	0.08302885	0.05300116754513504
Saltmarsh_3_000000001	518400.0	1	1	0.14624010652864813	0.29248021305729627	0.16221077291360733	0.32442154582721466	1.0	0.28539180755615234	7351663.57983049	2680077.6071518906	2680077.6071518906	0.005572338194246698	0.007828049841512755	0.046468300806233626	518400.0	0.100397141	0.060222917844878786
Saltmarsh_3_000000001	604800.0	1	1	0.14048113288883715	0.2809622657776743	0.15758101519456047	0.31516203038912094	1.0	0.08520491421222687	7900502.77361196	886401.2809241881	886401.2809241881	-0.004462665624812707	0.008894672029433648	0.04200563518142092	604800.0	0.132747577	0.05443930319512151
Saltmarsh_3_000000001	691200.0	1	1	0.16434229277899487	0.32868458555798974	0.18163439699649772	0.36326879399299544	1.0	0.6385889649391174	7290507.182066455	6314858.5243441155	6314858.5243441155	0.023533836184874556	0.008040456436846028	0.06553947136629548	691200.0	0.067350109	0.08493915489071895
Saltmarsh_3_000000001	777600.0	1	1	0.1865520004644496	0.3731040009288992	0.2045229491749122	0.4090458983498244	1.0	0.6385889649391174	9977469.839132555	8310305.140948205	8310305.140948205	0.02900636927183238	0.012545156432908648	0.09454584063812788	777600.0	0.067350109	0.12253140946701373
Saltmarsh_3_000000001	864000.0	1	1	0.20740336656995395	0.4148067331399079	0.22628398433440527	0.45256796866881055	1.0	0.6385889053344727	12856464.68981158	10481973.463762574	10481973.463762574	0.034312492772454704	0.018097374546358166	0.1288583334105826	864000.0	0.067350113	0.16700040010011505
Saltmarsh_3_000000001	950400.0	1	1	0.22704137644584346	0.4540827528916869	0.24693943576987262	0.49387887153974525	1.0	0.6385877132415771	15891077.420726007	12791029.949675372	12791029.949675372	0.039289892055270295	0.02466525769310657	0.1681482254658529	950400.0	0.067350234	0.21792010020374536
