xml_file,log_file,start_time,end_time,duration_sec,exit_code,status
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.105_10.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.105_10.log,2026-06-05T18:36:15.357632,2026-06-05T18:44:24.208654,488.851022,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.140_03.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.140_03.log,2026-06-05T18:42:10.076581,2026-06-05T18:47:57.715669,347.639088,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.140_04.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.140_04.log,2026-06-05T18:42:18.678598,2026-06-05T18:48:03.178156,344.499558,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.140_05.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.140_05.log,2026-06-05T18:43:18.226079,2026-06-05T18:49:08.962101,350.736022,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.140_06.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.140_06.log,2026-06-05T18:43:43.428575,2026-06-05T18:49:30.528979,347.100404,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.140_07.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.140_07.log,2026-06-05T18:44:00.163344,2026-06-05T18:49:49.521584,349.35824,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.140_08.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.140_08.log,2026-06-05T18:44:24.213831,2026-06-05T18:50:12.436294,348.222463,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_01.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_01.log,2026-06-05T18:49:08.965630,2026-06-05T18:51:28.913221,139.947591,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_02.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_02.log,2026-06-05T18:49:30.532546,2026-06-05T18:51:53.955586,143.42304,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_03.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_03.log,2026-06-05T18:49:49.526299,2026-06-05T18:52:10.553615,141.027316,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_04.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_04.log,2026-06-05T18:50:12.439842,2026-06-05T18:52:35.291041,142.851199,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_05.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_05.log,2026-06-05T18:51:28.915916,2026-06-05T18:53:52.209558,143.293642,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.140_09.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.140_09.log,2026-06-05T18:47:57.721373,2026-06-05T18:53:55.998885,358.277512,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_static_0.140_10.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_static_0.140_10.log,2026-06-05T18:48:03.182663,2026-06-05T18:53:58.048662,354.865999,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_06.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_06.log,2026-06-05T18:51:53.958994,2026-06-05T18:54:17.894986,143.935992,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_07.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_07.log,2026-06-05T18:52:10.558137,2026-06-05T18:54:36.034145,145.476008,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_08.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_08.log,2026-06-05T18:52:35.293181,2026-06-05T18:55:00.883645,145.590464,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_09.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_09.log,2026-06-05T18:53:52.214017,2026-06-05T18:56:20.460953,148.246936,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.035_10.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.035_10.log,2026-06-05T18:53:56.002173,2026-06-05T18:56:23.924408,147.922235,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.070_01.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.070_01.log,2026-06-05T18:53:58.052674,2026-06-05T18:57:34.959757,216.907083,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.070_02.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.070_02.log,2026-06-05T18:54:17.898922,2026-06-05T18:57:54.575721,216.676799,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.070_03.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.070_03.log,2026-06-05T18:54:36.037371,2026-06-05T18:58:15.560197,219.522826,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.070_04.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.070_04.log,2026-06-05T18:55:00.887639,2026-06-05T18:58:40.988857,220.101218,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\monoculture_static_pft1_0.070_05.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\monoculture_static_pft1_0.070_05.log,2026-06-05T18:56:20.464522,2026-06-05T19:00:02.018803,221.554281,0,OK
